Term,Participant Code,Status,"Did stipend influence your ability to participate? (yes, maybe, no)"
2022_1,1,Tenure Track,Yes
2022_1,2,Other,Yes
2022_1,3,Tenure Track,Yes
2022_1,4,Other,N/A
2022_1,5,Tenure Track,Maybe
2022_1,6,Tenure Track,Yes
2022_1,7,Other,Maybe
2022_1,8,Career Track,Maybe
2022_1,9,Staff,Maybe
2022_1,10,Career Track,No
2022_1,11,Tenure Track,Yes
2022_1,12,Tenure Track,Yes
2022_1,13,Other,No
2022_1,14,Tenure Track,Yes
2023_1,1,Tenure Track,Yes
2023_1,15,Career Track,Maybe
2023_1,2,Other,Yes
2023_1,16,Tenure Track,Maybe
2023_1,17,Career Track,Maybe
2023_1,9,Staff,Maybe
2023_1,18,Tenure Track,No
2023_1,19,Tenure Track,Yes
2023_1,14,Tenure Track,Yes
2024_1,20,Tenure Track,Maybe
2024_1,1,Tenure Track,Yes
2024_1,21,Staff,Yes
2024_1,22,Staff,N/A
2024_1,23,Career Track,Yes
2024_1,24,Other,Maybe
2024_1,25,Staff,Yes
2024_1,7,Tenure Track,No
2024_1,26,Tenure Track,Maybe
2024_1,9,Staff,Maybe
2024_1,27,Staff,No
2024_1,28,Tenure Track,Yes
2024_1,29,Career Track,No
2024_1,30,Career Track,No
2024_1,19,Tenure Track,Yes
2024_1,14,Tenure Track,Yes
2024_1,31,Staff,Yes
