"question_category","question_text","t","df","p"
"Pedagogy knowledge","Demotivation and the role it plays in learning",-4.99,30,"<0.001"
"Pedagogy knowledge","Equity, inclusion, and accessibility as it relates to teaching and learning",-4.22,30,"0.003"
"Pedagogy knowledge","General knowledge of best pedagogical practices",-4.83,29,"<0.001"
"Pedagogy knowledge","Motivation and the role it plays in learning",-4.28,30,"0.003"
"Pedagogy knowledge","The role memory plays in shaping if and how students learn",-5.91,30,"<0.001"
"Pedagogy knowledge","The role of feedback in skills development",-3.97,30,"0.005"
"Pedagogy knowledge","The role of practice in skills development",-3.57,30,"0.012"
"Skills development knowledge","Creating active learning assignments or opportunities",-2.26,29,"0.188"
"Skills development knowledge","Defining strong and effective learning objectives",-2.18,29,"0.188"
"Skills development knowledge","How to design assessments to understand student learning",-6.78,30,"<0.001"
"Skills development knowledge","How to do formative assessment in data science instruction",-8.25,30,"<0.001"
"Skills development knowledge","How to motivate students",-4.5,30,"0.002"
"Skills development knowledge","Instructional design practices",-3.57,30,"0.012"
"Skills development knowledge","Reverse instructional design as a specific form of instructional design",-5.68,30,"<0.001"
"Skills development knowledge","The difference between formative and summative assessments",-6.06,30,"<0.001"
"Skills development confidence","Creating a positive learning environment",-1.72,29,"0.384"
"Skills development confidence","Creating active learning assignments or activities that are effective",-1,29,"0.404"
"Skills development confidence","Creating an inclusive learning environment",-1.31,29,"0.404"
"Skills development confidence","Creating formative assessments",-3.8,29,"0.008"
"Skills development confidence","Defining learning objectives",-3.27,29,"0.022"
"Skills development confidence","Effectively motivating students",-2.86,28,"0.056"
"Skills development confidence","Providing constructive feedback to students",-1.54,29,"0.402"
"Data science confidence","Creating assessments to evaluate data science learning",-3.85,30,"0.007"
"Data science confidence","Creating data science activities or assignments that relate to the course topics I teach",-4.62,30,"0.001"
"Data science confidence","Developing data science learning objectives",-5.69,30,"<0.001"
"Data science confidence","Developing effective data science modules",-5.84,30,"<0.001"
